Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1945,1341.3,NSW,Gold,1.478844432,0.000234483
1851,1843.8,SA,Gold,2.032825507,0.000322321
1959,1344.2,QLD,Iron Ore,,1.47535E-06
1959,1344.2,VIC,Iron Ore,,1.47535E-06
1931,1357.1,VIC,Gold,1.496263175,0.000237244
1947,1363.5,QLD,Iron Ore,,1.49654E-06
1947,1363.5,VIC,Iron Ore,,1.49654E-06
1882,1371.6,TAS,Gold,1.512241786,0.000239778
1867,1385.6,QLD,Gold,1.527637486,0.000242219
1973,1391.0,QLD,Gold,1.533627343,0.000243169
1909,1392.6,TAS,Gold,1.535352481,0.000243442
1975,1395.0,QLD,Gold,1.538037486,0.000243868
1952,1396.2,NT,Gold,1.539364278,0.000244079
1865,1906.2,TAS,Gold,2.101664711,0.000333236
1864,1909.3,TAS,Gold,2.105088369,0.000333779
1863,1912.5,TAS,Gold,2.10855502,0.000334328
1855,1915.7,TAS,Gold,2.112078028,0.000334887
1862,1918.8,TAS,Gold,2.115580312,0.000335442
1957,1422.9,VIC,Gold,1.568784123,0.000248743
1854,1928.3,TAS,Gold,2.126033392,0.0003371
1853,1931.6,TAS,Gold,2.129708648,0.000337682
1852,1935.0,TAS,Gold,2.133434679,0.000338273
1851,1942.1,TAS,Gold,2.141234308,0.00033951
1976,1439.0,QLD,Gold,1.586549063,0.00025156
1925,1443.2,QLD,Gold,1.591209041,0.000252299
1904,1464.1,WA,Iron Ore,,1.60694E-06
1925,1470.9,VIC,Gold,1.62172613,0.000257138
1880,1473.8,TAS,Gold,1.624914994,0.000257643
1932,1484.9,VIC,Gold,1.63712183,0.000259579
1949,1492.5,QLD,Iron Ore,,1.63816E-06
1949,1492.5,VIC,Iron Ore,,1.63816E-06
1976,1495.0,TAS,Gold,1.648291069,0.00026135
1895,1509.1,TAS,Gold,1.663832856,0.000263814
1981,1510.0,QLD,Gold,1.664829107,0.000263972
1973,1511.0,TAS,Gold,1.665931643,0.000264147
1920,1521.0,NSW,Gold,1.676999779,0.000265902
1951,1521.1,NSW,Gold,1.677068357,0.000265913
1926,1526.3,VIC,Gold,1.682828886,0.000266826
1949,1531.1,TAS,Iron Ore,,1.68054E-06
1985,1536.0,NSW,Gold,1.693495039,0.000268517
1906,1543.3,NSW,Iron Ore,,1.69392E-06
1950,1545.3,TAS,Iron Ore,,1.69615E-06
1947,1557.6,NSW,Gold,1.717254906,0.000272284
1935,1558.2,NSW,Gold,1.717940684,0.000272393
1974,1585.0,TAS,Gold,1.747519294,0.000277083
1881,1588.1,TAS,Gold,1.750892282,0.000277618
1894,1589.0,TAS,Gold,1.751886659,0.000277776
1894,1589.0,SA,Iron Ore,,1.7441E-06
1921,1591.5,NSW,Gold,1.754664057,0.000278216
1948,1592.1,QLD,Iron Ore,,1.74745E-06
1948,1592.1,VIC,Iron Ore,,1.74745E-06
1944,1593.0,QLD,Gold,1.756378501,0.000278488
1950,1597.0,NSW,Gold,1.760733186,0.000279178
1949,1610.8,NSW,Gold,1.775923153,0.000281587
1991,1621.0,TAS,Gold,1.787210584,0.000283377
2015,1622.0,TAS,Gold,1.788261115,0.000283543
1948,1622.3,NSW,Gold,1.788644322,0.000283604
1951,1628.6,QLD,Iron Ore,,1.78759E-06
1951,1628.6,VIC,Iron Ore,,1.78759E-06
1953,1630.4,NT,Gold,1.797525138,0.000285012
1996,1634.8,TAS,Gold,1.802393695,0.000285784
1895,1636.8,SA,Iron Ore,,1.79651E-06
1954,1637.9,VIC,Gold,1.805823043,0.000286328
1997,1641.6,SA,Gold,1.809953888,0.000286983
1892,1656.8,WA,Gold,1.826636384,0.000289628
1975,1669.0,TAS,Gold,1.840132304,0.000291768
1993,1675.9,SA,Gold,1.847793229,0.000292982
1990,1676.0,TAS,Gold,1.847850055,0.000292991
1942,1676.4,SA,Coal,,1.84E-06
1943,1676.4,SA,Coal,,1.84E-06
1946,1680.5,QLD,Iron Ore,,1.84446E-06
1946,1680.5,VIC,Iron Ore,,1.84446E-06
1944,1682.1,VIC,Gold,1.854547519,0.000294053
1954,1689.9,NT,Gold,1.863188313,0.000295423
1879,1690.5,TAS,Gold,1.863839802,0.000295527
1995,1716.4,SA,Gold,1.892408024,0.000300056
1982,1737.0,TAS,Gold,1.915104741,0.000303655
1896,1739.4,TAS,Gold,1.917776185,0.000304079
1956,1742.3,QLD,Gold,1.920930761,0.000304579
1945,1742.4,QLD,Iron Ore,,1.91249E-06
1945,1742.4,VIC,Iron Ore,,1.91249E-06
1998,1743.9,SA,Gold,1.922740131,0.000304866
1979,1747.0,TAS,Gold,1.926130099,0.000305403
1984,1751.0,QLD,Gold,1.930540243,0.000306103
1943,1757.5,VIC,Gold,1.937698015,0.000307238
1989,1760.0,TAS,Gold,1.940463065,0.000307676
1988,1770.0,VIC,Gold,1.951488423,0.000309424
1999,1773.3,SA,Gold,1.955159445,0.000310006
1961,1773.9,QLD,Iron Ore,,1.94706E-06
1961,1773.9,VIC,Iron Ore,,1.94706E-06
1908,1775.3,TAS,Gold,1.957379824,0.000310358
1960,1787.1,QLD,Iron Ore,,1.96156E-06
1960,1787.1,VIC,Iron Ore,,1.96156E-06
1971,1793.0,TAS,Gold,1.976846748,0.000313445
1933,1809.5,VIC,Gold,1.995028997,0.000316328
1996,1810.8,SA,Gold,1.996471227,0.000316556
1989,1840.0,VIC,Gold,2.028665932,0.000321661
1994,1844.0,SA,Gold,2.033042364,0.000322355
1903,1862.6,TAS,Gold,2.053628666,0.000325619
1906,1866.7,TAS,Gold,2.058120507,0.000326331
2019,1883.1,TAS,Gold,2.076221154,0.000329201
1936,1889.0,NSW,Gold,2.082671334,0.000330224
1977,1891.0,TAS,Gold,2.084895259,0.000330577
1978,1892.0,TAS,Gold,2.085997795,0.000330752
2014,1906.2,TAS,Gold,2.101696339,0.000333241
1945,1921.7,VIC,Gold,2.118708931,0.000335938
1984,1926.0,TAS,Gold,2.123484013,0.000336695
1944,1947.2,NSW,Gold,2.146825799,0.000340396
1981,1950.0,TAS,Gold,2.149944873,0.000340891
1946,1951.0,QLD,Gold,2.15104333,0.000341065
1943,1954.3,QLD,Gold,2.15464366,0.000341636
1959,1963.7,NT,Gold,2.165067475,0.000343289
1945,1966.2,QLD,Gold,2.167844873,0.000343729
1957,1970.6,QLD,Gold,2.172645314,0.00034449
1943,1983.5,NSW,Gold,2.186909482,0.000346752
1974,1984.0,QLD,Gold,2.187431092,0.000346835
1966,1987.0,QLD,Iron Ore,,2.18092E-06
1966,1987.0,VIC,Iron Ore,,2.18092E-06
1953,1987.8,VIC,Gold,2.191641345,0.000347502
1950,1990.3,QLD,Iron Ore,,2.18459E-06
1950,1990.3,VIC,Iron Ore,,2.18459E-06
1955,2000.4,QLD,Gold,2.205528335,0.000349704
1961,2014.8,QLD,Gold,2.221438368,0.000352227
1972,2021.0,TAS,Gold,2.228224917,0.000353303
2013,2026.9,TAS,Gold,2.234683406,0.000354327
1988,2030.0,TAS,Gold,2.23814774,0.000354876
1907,2032.5,TAS,Gold,2.240914443,0.000355315
1955,2032.6,NT,Gold,2.24101731,0.000355331
1919,2047.6,NSW,Gold,2.257544542,0.000357952
1904,2050.1,TAS,Gold,2.260356229,0.000358398
1951,2054.6,VIC,Gold,2.265225248,0.00035917
1952,2076.8,VIC,Gold,2.289707497,0.000363051
1983,2077.0,TAS,Gold,2.289966924,0.000363093
1924,2088.9,VIC,Gold,2.303080154,0.000365172
1962,2106.4,QLD,Gold,2.322350496,0.000368227
1950,2109.4,VIC,Gold,2.325676516,0.000368755
1949,2128.0,VIC,Gold,2.346249835,0.000372017
1948,2132.8,VIC,Gold,2.35153032,0.000372854
1963,2133.0,QLD,Gold,2.351736053,0.000372887
1937,2133.7,NSW,Gold,2.352456119,0.000373001
1898,2134.2,TAS,Gold,2.35303903,0.000373093
2012,2138.0,TAS,Gold,2.357228348,0.000373757
1962,2158.7,NT,Gold,2.379990077,0.000377366
1901,2161.2,TAS,Gold,2.382767475,0.000377807
1948,2166.0,QLD,Gold,2.388082249,0.00037865
1897,2172.0,TAS,Gold,2.394734289,0.000379704
1934,2183.1,VIC,Gold,2.406941125,0.00038164
1902,2208.0,TAS,Gold,2.434372216,0.000385989
1941,2214.9,TAS,Iron Ore,,2.43104E-06
1942,2214.9,TAS,Iron Ore,,2.43104E-06
1943,2214.9,TAS,Iron Ore,,2.43104E-06
1944,2214.9,TAS,Iron Ore,,2.43104E-06
1945,2214.9,TAS,Iron Ore,,2.43104E-06
2011,2217.6,TAS,Gold,2.44494906,0.000387666
1987,2225.0,TAS,Gold,2.453142227,0.000388965
1969,2237.0,QLD,Gold,2.466372657,0.000391063
1960,2247.0,NT,Gold,2.47743903,0.000392818
1947,2247.9,QLD,Gold,2.478433407,0.000392975
1958,2258.4,NT,Gold,2.489920176,0.000394797
1905,2287.1,TAS,Gold,2.521603087,0.00039982
1957,2300.5,NT,Gold,2.536347299,0.000402158
1900,2315.2,TAS,Gold,2.552634509,0.000404741
1958,2319.1,QLD,Gold,2.55685204,0.000405409
1888,2322.7,NSW,Gold,2.560863837,0.000406045
1985,2334.0,TAS,Gold,2.573318633,0.00040802
1936,2337.8,QLD,Iron Ore,,2.56597E-06
1936,2337.8,VIC,Iron Ore,,2.56597E-06
1956,2345.6,NT,Gold,2.586100441,0.000410047
1961,2345.9,TAS,Iron Ore,,2.57489E-06
1941,2349.0,QLD,Iron Ore,,2.57824E-06
1941,2349.0,VIC,Iron Ore,,2.57824E-06
1961,2352.6,NT,Gold,2.593781147,0.000411265
1972,2357.0,QLD,Gold,2.598676957,0.000412041
1949,2372.4,QLD,Gold,2.615623153,0.000414728
1944,2374.4,QLD,Iron Ore,,2.60611E-06
1962,2374.4,QLD,Iron Ore,,2.60611E-06
1944,2374.4,VIC,Iron Ore,,2.60611E-06
1962,2374.4,VIC,Iron Ore,,2.60611E-06
1967,2386.6,NT,Gold,2.631293164,0.000417213
1965,2393.6,QLD,Gold,2.639008159,0.000418436
1899,2398.2,TAS,Gold,2.644048622,0.000419235
1942,2402.4,NSW,Gold,2.648780485,0.000419985
1902,2424.2,TAS,Iron Ore,,2.66076E-06
1960,2434.1,QLD,Gold,2.683686549,0.00042552
1951,2443.8,QLD,Gold,2.694418964,0.000427222
1930,2455.7,QLD,Iron Ore,,2.69533E-06
1930,2455.7,VIC,Iron Ore,,2.69533E-06
2010,2464.8,TAS,Gold,2.717490245,0.00043088
1963,2488.7,NT,Gold,2.743897795,0.000435067
1981,2495.0,NT,Gold,2.750826902,0.000436166
1922,2506.2,QLD,Gold,2.763133848,0.000438117
1964,2524.2,NT,Gold,2.783055678,0.000441276
1917,2555.5,NSW,Gold,2.817550276,0.000446745
1965,2567.0,NT,Gold,2.830168578,0.000448746
1968,2579.4,QLD,Gold,2.843884123,0.000450921
1970,2589.0,QLD,Gold,2.85446527,0.000452598
1966,2616.8,NT,Gold,2.885099338,0.000457456
1947,2634.4,VIC,Gold,2.904575413,0.000460544
1906,2641.6,TAS,Iron Ore,,2.8994E-06
1853,2662.9,TAS,Iron Ore,,2.92277E-06
1952,2667.0,QLD,Gold,2.940475854,0.000466236
1986,2674.0,TAS,Gold,2.948180816,0.000467458
1886,2681.8,NSW,Gold,2.956831643,0.000468829
1946,2705.5,VIC,Gold,2.98289118,0.000472961
1918,2707.1,NSW,Gold,2.984674201,0.000473244
1939,2711.6,NSW,Gold,2.989611797,0.000474027
1935,2724.6,VIC,Gold,3.00401312,0.00047631
1979,2738.0,NSW,Iron Ore,,3.00521E-06
1941,2739.6,NSW,Gold,3.020540353,0.000478931
1983,2744.0,NT,Gold,3.025358324,0.000479695
1950,2744.5,QLD,Gold,3.025957993,0.00047979
1881,2916.1,SA,Iron Ore,,3.20072E-06
1938,2758.5,NSW,Gold,3.041353693,0.000482231
1923,2759.4,QLD,Gold,3.042313782,0.000482383
1885,2772.4,NSW,Gold,3.056680816,0.000484661
1957,2797.0,NSW,Iron Ore,,3.07002E-06
1971,2824.0,QLD,Gold,3.113561191,0.00049368
1959,2851.5,QLD,Gold,3.143843109,0.000498481
1953,2857.7,QLD,Gold,3.150700882,0.000499569
1933,2861.1,QLD,Gold,3.154472657,0.000500167
1940,2886.5,QLD,Iron Ore,,3.16815E-06
1940,2886.5,VIC,Iron Ore,,3.16815E-06
1887,2888.9,NSW,Gold,3.185161191,0.000505033
1854,2893.8,TAS,Iron Ore,,3.17626E-06
1884,2899.8,NSW,Gold,3.197093716,0.000506925
2000,2948.4,SA,Gold,3.250691758,0.000515423
1942,2958.1,QLD,Gold,3.261453914,0.00051713
1923,2967.0,VIC,Gold,3.271260529,0.000518685
1967,2973.2,QLD,Gold,3.278049724,0.000519761
1879,2981.5,NSW,Gold,3.287170562,0.000521207
1958,2984.0,NSW,Iron Ore,,3.27521E-06
1984,2993.0,NT,Gold,3.299889746,0.000523224
1954,3046.3,QLD,Gold,3.358628556,0.000532537
1907,3048.0,TAS,Iron Ore,,3.34546E-06
1855,3052.5,TAS,Iron Ore,,3.35043E-06
1924,3074.0,QLD,Gold,3.389145645,0.000537376
1893,3085.2,WA,Gold,3.401558214,0.000539344
1943,3094.7,QLD,Iron Ore,,3.39676E-06
1943,3094.7,VIC,Iron Ore,,3.39676E-06
1893,3098.8,SA,Iron Ore,,3.40122E-06
2003,3110.6,VIC,Gold,3.429542127,0.000543781
1932,3114.0,NSW,Iron Ore,,3.41795E-06
1940,3117.9,NSW,Gold,3.437630099,0.000545064
1963,3118.1,QLD,Iron Ore,,3.42241E-06
1963,3118.1,VIC,Iron Ore,,3.42241E-06
2002,3136.2,SA,Gold,3.457797758,0.000548261
1964,3139.1,QLD,Gold,3.461015105,0.000548772
1878,3149.7,NSW,Gold,3.472707607,0.000550626
1856,3156.3,TAS,Iron Ore,,3.46438E-06
1942,3156.6,VIC,Gold,3.480216869,0.000551816
1889,3183.3,NSW,Gold,3.509705292,0.000556492
1980,3191.0,NT,Gold,3.518191841,0.000557837
1935,3203.0,QLD,Gold,3.531410143,0.000559933
1985,3215.0,NT,Gold,3.544652701,0.000562033
2002,3243.4,VIC,Gold,3.575954523,0.000566996
1921,3250.3,VIC,Gold,3.583597795,0.000568208
1880,3252.6,NSW,Gold,3.586135171,0.00056861
2020,3256.7,TAS,Gold,3.590650821,0.000569326
1905,3264.4,WA,Iron Ore,,3.58299E-06
1934,3281.7,QLD,Iron Ore,,3.60195E-06
1934,3281.7,VIC,Iron Ore,,3.60195E-06
1951,3286.8,TAS,Iron Ore,,3.60752E-06
1857,3291.0,TAS,Iron Ore,,3.61213E-06
1982,3322.0,NT,Gold,3.662624035,0.000580738
1922,3323.7,VIC,Gold,3.664519515,0.000581039
1992,3353.0,VIC,Gold,3.696802646,0.000586158
1883,3357.2,NSW,Gold,3.701380044,0.000586883
1916,3363.3,NSW,Gold,3.708169239,0.00058796
1890,3370.0,NSW,Gold,3.715541345,0.000589129
1858,3385.2,TAS,Iron Ore,,3.71559E-06
1941,3391.9,QLD,Gold,3.739680706,0.000592956
1851,3429.0,NSW,Gold,3.780553032,0.000599437
1877,3451.7,NSW,Gold,3.805652481,0.000603417
2004,3455.5,VIC,Gold,3.809865492,0.000604085
1955,3461.5,NSW,Iron Ore,,3.79933E-06
1859,3479.5,TAS,Iron Ore,,3.81905E-06
1936,3495.0,NSW,Iron Ore,,3.83613E-06
2001,3498.3,VIC,Gold,3.856953519,0.000611551
1964,3518.4,QLD,Iron Ore,,3.86178E-06
1964,3518.4,VIC,Iron Ore,,3.86178E-06
1960,3553.0,TAS,Iron Ore,,3.89969E-06
1898,3564.1,WA,Coal,,3.91196E-06
1860,3573.7,TAS,Iron Ore,,3.9225E-06
1956,3583.4,NSW,Iron Ore,,3.93315E-06
1920,3583.7,QLD,Gold,3.951105843,0.000626479
1870,3584.2,QLD,Gold,3.951723043,0.000626577
1934,3591.1,QLD,Gold,3.95936946,0.00062779
1936,3657.2,VIC,Gold,4.032233297,0.000639343
1908,3657.6,TAS,Iron Ore,,4.01455E-06
1909,3657.6,TAS,Iron Ore,,4.01455E-06
1910,3657.6,TAS,Iron Ore,,4.01455E-06
1911,3657.6,TAS,Iron Ore,,4.01455E-06
1912,3657.6,TAS,Iron Ore,,4.01455E-06
1913,3657.6,TAS,Iron Ore,,4.01455E-06
1914,3657.6,TAS,Iron Ore,,4.01455E-06
1915,3657.6,TAS,Iron Ore,,4.01455E-06
1916,3657.6,TAS,Iron Ore,,4.01455E-06
1917,3657.6,TAS,Iron Ore,,4.01455E-06
1918,3657.6,TAS,Iron Ore,,4.01455E-06
1919,3657.6,TAS,Iron Ore,,4.01455E-06
1920,3657.6,TAS,Iron Ore,,4.01455E-06
1921,3657.6,TAS,Iron Ore,,4.01455E-06
1922,3657.6,TAS,Iron Ore,,4.01455E-06
1923,3657.6,TAS,Iron Ore,,4.01455E-06
1924,3657.6,TAS,Iron Ore,,4.01455E-06
1925,3657.6,TAS,Iron Ore,,4.01455E-06
1926,3657.6,TAS,Iron Ore,,4.01455E-06
1927,3657.6,TAS,Iron Ore,,4.01455E-06
1928,3657.6,TAS,Iron Ore,,4.01455E-06
1929,3657.6,TAS,Iron Ore,,4.01455E-06
1930,3657.6,TAS,Iron Ore,,4.01455E-06
1931,3657.6,TAS,Iron Ore,,4.01455E-06
1932,3657.6,TAS,Iron Ore,,4.01455E-06
1933,3657.6,TAS,Iron Ore,,4.01455E-06
1934,3657.6,TAS,Iron Ore,,4.01455E-06
1935,3657.6,TAS,Iron Ore,,4.01455E-06
1936,3657.6,TAS,Iron Ore,,4.01455E-06
1861,3668.0,TAS,Iron Ore,,4.02596E-06
1931,3723.6,NSW,Iron Ore,,4.08704E-06
1991,3760.0,VIC,Gold,4.14553473,0.000657308
1862,3762.2,TAS,Iron Ore,,4.12941E-06
1919,3764.0,QLD,Gold,4.149981257,0.000658013
1936,3768.5,QLD,Gold,4.154918853,0.000658796
1942,3815.1,QLD,Iron Ore,,4.1874E-06
1942,3815.1,VIC,Iron Ore,,4.1874E-06
1994,3819.8,VIC,Gold,4.211485743,0.000667765
1869,3829.5,QLD,Gold,4.222159316,0.000669457
1882,3855.0,NSW,Gold,4.250241896,0.00067391
1930,3860.8,NSW,Iron Ore,,4.23758E-06
1970,3865.0,NT,Gold,4.261300992,0.000675663
1914,3872.2,NSW,Gold,4.269203638,0.000676916
1978,3876.0,NT,Gold,4.273428886,0.000677586
1988,3901.0,NSW,Iron Ore,,4.28171E-06
1990,3926.0,VIC,Gold,4.328555678,0.000686327
2002,3934.0,NSW,Iron Ore,,4.31793E-06
1968,3937.6,NT,Gold,4.34131312,0.00068835
1940,3944.4,QLD,Gold,4.348890959,0.000689551
1863,3945.8,TAS,Iron Ore,,4.33085E-06
1937,3958.4,QLD,Gold,4.364320948,0.000691998
1852,3977.4,TAS,Iron Ore,,4.36555E-06
1939,4003.0,QLD,Iron Ore,,4.39371E-06
1939,4003.0,VIC,Iron Ore,,4.39371E-06
1969,4016.0,NT,Gold,4.427783903,0.000702061
1890,4030.5,SA,Iron Ore,,4.42381E-06
2012,4066.0,VIC,Gold,4.482878134,0.000710796
1891,4094.4,NSW,Gold,4.514266152,0.000715773
1915,4120.7,NSW,Gold,4.543205954,0.000720362
1921,4126.0,QLD,Iron Ore,,4.52864E-06
1921,4126.0,VIC,Iron Ore,,4.52864E-06
1962,4147.3,TAS,Iron Ore,,4.55206E-06
1997,4147.5,TAS,Gold,4.57279989,0.000725054
1918,4154.1,QLD,Gold,4.579997905,0.000726195
1956,4158.5,QLD,Iron Ore,,4.56432E-06
1956,4158.5,VIC,Iron Ore,,4.56432E-06
1998,4179.0,TAS,Gold,4.607475534,0.000730552
2007,4190.5,TAS,Gold,4.62014599,0.000732561
1881,4199.5,NSW,Gold,4.630128225,0.000734144
1987,4201.0,NSW,Gold,4.631753032,0.000734401
1919,4211.8,VIC,Gold,4.643672326,0.000736291
1892,4212.1,NSW,Gold,4.643980926,0.00073634
1979,4221.0,NT,Gold,4.653803749,0.000737898
2000,4230.4,VIC,Gold,4.664158973,0.00073954
1892,4250.9,SA,Iron Ore,,4.6658E-06
1934,4280.4,NSW,Iron Ore,,4.69814E-06
1963,4288.5,TAS,Iron Ore,,4.70706E-06
1964,4288.5,TAS,Iron Ore,,4.70706E-06
1965,4288.5,TAS,Iron Ore,,4.70706E-06
1966,4288.5,TAS,Iron Ore,,4.70706E-06
1967,4288.5,TAS,Iron Ore,,4.70706E-06
1968,4288.5,TAS,Iron Ore,,4.70706E-06
1995,4301.3,VIC,Gold,4.742370937,0.000751941
2001,4313.3,SA,Gold,4.755612761,0.00075404
1966,4329.2,QLD,Gold,4.773078501,0.00075681
1901,4332.8,NSW,Iron Ore,,4.75563E-06
1958,4334.3,TAS,Iron Ore,,4.75725E-06
1957,4341.4,QLD,Iron Ore,,4.76505E-06
1957,4341.4,VIC,Iron Ore,,4.76505E-06
1868,4345.5,QLD,Gold,4.791045865,0.000759659
1993,4363.7,VIC,Gold,4.811162084,0.000762848
1980,4397.0,NSW,Iron Ore,,4.82611E-06
1905,4411.5,QLD,Iron Ore,,4.842E-06
1905,4411.5,VIC,Iron Ore,,4.842E-06
1889,4467.4,SA,Iron Ore,,4.90333E-06
1926,4482.6,QLD,Iron Ore,,4.92006E-06
1926,4482.6,VIC,Iron Ore,,4.92006E-06
1938,4486.0,VIC,Gold,4.945928666,0.000784217
1876,4489.5,NSW,Gold,4.949837596,0.000784836
1904,4501.9,QLD,Iron Ore,,4.94125E-06
1904,4501.9,VIC,Iron Ore,,4.94125E-06
1996,4516.1,VIC,Gold,4.979179792,0.000789489
1871,4516.7,QLD,Gold,4.979806064,0.000789588
1851,4521.2,WA,Iron Ore,,4.96243E-06
1865,4521.2,WA,Iron Ore,,4.96243E-06
1866,4521.2,WA,Iron Ore,,4.96243E-06
1867,4521.2,WA,Iron Ore,,4.96243E-06
1868,4521.2,WA,Iron Ore,,4.96243E-06
1869,4521.2,WA,Iron Ore,,4.96243E-06
1870,4521.2,WA,Iron Ore,,4.96243E-06
1871,4521.2,WA,Iron Ore,,4.96243E-06
1872,4521.2,WA,Iron Ore,,4.96243E-06
1873,4521.2,WA,Iron Ore,,4.96243E-06
1874,4521.2,WA,Iron Ore,,4.96243E-06
1875,4521.2,WA,Iron Ore,,4.96243E-06
1876,4521.2,WA,Iron Ore,,4.96243E-06
1877,4521.2,WA,Iron Ore,,4.96243E-06
1878,4521.2,WA,Iron Ore,,4.96243E-06
1879,4521.2,WA,Iron Ore,,4.96243E-06
1880,4521.2,WA,Iron Ore,,4.96243E-06
1881,4521.2,WA,Iron Ore,,4.96243E-06
1882,4521.2,WA,Iron Ore,,4.96243E-06
1883,4521.2,WA,Iron Ore,,4.96243E-06
1884,4521.2,WA,Iron Ore,,4.96243E-06
1885,4521.2,WA,Iron Ore,,4.96243E-06
1886,4521.2,WA,Iron Ore,,4.96243E-06
1887,4521.2,WA,Iron Ore,,4.96243E-06
1888,4521.2,WA,Iron Ore,,4.96243E-06
1889,4521.2,WA,Iron Ore,,4.96243E-06
1890,4521.2,WA,Iron Ore,,4.96243E-06
1891,4521.2,WA,Iron Ore,,4.96243E-06
1892,4521.2,WA,Iron Ore,,4.96243E-06
1893,4521.2,WA,Iron Ore,,4.96243E-06
1894,4521.2,WA,Iron Ore,,4.96243E-06
1895,4521.2,WA,Iron Ore,,4.96243E-06
1896,4521.2,WA,Iron Ore,,4.96243E-06
1897,4521.2,WA,Iron Ore,,4.96243E-06
1937,4534.3,VIC,Gold,4.999282139,0.000792676
1937,4550.7,QLD,Iron Ore,,4.99477E-06
1937,4550.7,VIC,Iron Ore,,4.99477E-06
1939,4579.4,QLD,Gold,5.048966703,0.000800554
1976,4619.0,NT,Gold,5.09261301,0.000807474
1931,4628.9,QLD,Iron Ore,,5.08064E-06
1931,4628.9,VIC,Iron Ore,,5.08064E-06
1999,4633.0,VIC,Gold,5.108060884,0.000809924
1913,4654.3,NSW,Gold,5.131568578,0.000813651
1941,4657.8,VIC,Gold,5.135408931,0.00081426
1938,4709.5,QLD,Gold,5.192431312,0.000823301
1952,4749.8,TAS,Iron Ore,,5.21334E-06
1920,4751.8,VIC,Gold,5.239064168,0.000830695
1893,4768.4,NSW,Gold,5.257374421,0.000833599
1855,4792.7,NSW,Gold,5.284085447,0.000837834
1997,4824.6,VIC,Gold,5.319265054,0.000843412
1872,4835.1,QLD,Gold,5.330889746,0.000845255
1939,4867.8,VIC,Gold,5.366961632,0.000850975
1902,4876.8,WA,Iron Ore,,5.35274E-06
1998,4896.0,VIC,Gold,5.398022718,0.0008559
1953,4904.2,TAS,Iron Ore,,5.38285E-06
1857,4938.2,NSW,Gold,5.444557332,0.000863278
1918,4939.5,VIC,Gold,5.445997464,0.000863506
1999,4950.3,TAS,Gold,5.457881054,0.000865391
2020,5000.0,SA,Coal,,5.48796E-06
2009,5010.0,TAS,Gold,5.52369569,0.000875826
1902,5015.1,NSW,Gold,5.529285116,0.000876712
1851,7954.7,NT,Gold,8.770329553,0.001390606
1856,5045.8,NSW,Gold,5.563196803,0.000882089
2008,5061.5,TAS,Gold,5.580484391,0.00088483
2006,5096.5,TAS,Gold,5.619094194,0.000890952
2004,5116.4,SA,Gold,5.641020043,0.000894429
1971,5124.0,NT,Gold,5.649393605,0.000895757
1912,5140.7,NSW,Gold,5.667777839,0.000898671
1959,5143.0,TAS,Iron Ore,,5.64491E-06
1938,5207.0,QLD,Iron Ore,,5.71516E-06
1938,5207.0,VIC,Iron Ore,,5.71516E-06
1973,5218.0,NT,Gold,5.753031974,0.000912189
2005,5235.6,VIC,Gold,5.77239223,0.000915259
1977,5251.0,NT,Gold,5.789415656,0.000917958
1873,5253.5,QLD,Gold,5.792177839,0.000918396
1986,5296.0,NT,Gold,5.839029768,0.000925825
1954,5304.5,NSW,Iron Ore,,5.82222E-06
1974,5316.0,NT,Gold,5.861080485,0.000929321
2003,5327.0,SA,Gold,5.873208484,0.000931244
1959,5327.9,NSW,Iron Ore,,5.84787E-06
1883,5394.6,QLD,Gold,5.947746417,0.000943063
1901,5397.2,NSW,Gold,5.950592393,0.000943514
2011,5406.6,VIC,Gold,5.960927539,0.000945153
1933,5453.9,NSW,Iron Ore,,5.98614E-06
2000,5470.0,NSW,Iron Ore,,6.00383E-06
1975,5548.0,NT,Gold,6.116868798,0.000969878
1917,5576.4,QLD,Gold,6.148164829,0.000974841
1940,5615.6,VIC,Gold,6.191437376,0.000981702
1969,5627.6,NSW,Iron Ore,,6.17684E-06
1988,5630.0,NSW,Gold,6.207276736,0.000984213
1911,5632.9,NSW,Gold,6.210433407,0.000984714
1992,5650.0,NSW,Gold,6.229327453,0.00098771
1854,5661.1,NSW,Gold,6.241567696,0.00098965
1953,5665.2,NSW,Iron Ore,,6.2181E-06
2010,5679.0,VIC,Gold,6.261331538,0.000992784
1882,5753.8,QLD,Gold,6.343748512,0.001005852
1894,5762.8,WA,Gold,6.353692282,0.001007429
1956,5776.0,TAS,Iron Ore,,6.33965E-06
1957,5867.4,TAS,Iron Ore,,6.44001E-06
1910,5873.5,NSW,Gold,6.475692062,0.001026773
2002,6053.4,TAS,Gold,6.674062101,0.001058226
1903,6075.7,TAS,Iron Ore,,6.66862E-06
2008,6089.5,VIC,Gold,6.713857929,0.001064536
2001,6181.1,TAS,Gold,6.814898182,0.001080557
1876,6197.6,TAS,Coal,,6.80244E-06
2013,6222.2,VIC,Gold,6.860184854,0.001087737
2005,6242.6,SA,Gold,6.88265951,0.001091301
2006,6272.4,VIC,Gold,6.915539209,0.001096514
1917,6278.2,VIC,Gold,6.921961632,0.001097532
1978,6319.0,NSW,Iron Ore,,6.93569E-06
1991,6332.0,NSW,Gold,6.981256891,0.001106934
1909,6366.4,NSW,Gold,7.01923914,0.001112956
