Year,Production,State,Mineral Type,Gold(t),Production(normalised)
1866,30.0,SA,Gold,0.033076075,5.24448E-06
1934,30.8,NT,Gold,0.033911687,5.37697E-06
1922,31.1,SA,Gold,0.034288864,5.43677E-06
1929,31.4,SA,Gold,0.034597464,5.4857E-06
1981,32.0,SA,Gold,0.035281147,5.59411E-06
1867,32.1,TAS,Gold,0.035386108,5.61075E-06
1882,33.9,SA,Gold,0.037409151,5.93152E-06
1950,35.5,SA,Gold,0.039123594,6.20336E-06
1980,36.0,VIC,Gold,0.03969129,6.29337E-06
1864,40.0,SA,Gold,0.044101433,6.99263E-06
1865,40.0,SA,Gold,0.044101433,6.99263E-06
1930,40.8,SA,Gold,0.044952701,7.12761E-06
1942,41.5,SA,Gold,0.045707056,7.24722E-06
1976,42.0,SA,Gold,0.046306505,7.34227E-06
1941,52.2,SA,Gold,0.057571003,9.12834E-06
1920,52.8,SA,Gold,0.058188203,9.2262E-06
1916,59.4,NT,Gold,0.065457442,1.03788E-05
1939,59.9,NSW,Iron Ore,,6.57941E-08
1976,61.0,VIC,Gold,0.067254686,1.06638E-05
1937,62.0,TAS,Iron Ore,,6.80244E-08
1938,62.0,TAS,Iron Ore,,6.80244E-08
1939,62.0,TAS,Iron Ore,,6.80244E-08
1948,63.3,SA,Gold,0.069812128,1.10693E-05
1975,64.0,SA,Gold,0.070562293,1.11882E-05
1974,67.0,SA,Gold,0.073869901,1.17127E-05
1949,68.4,SA,Gold,0.075366924,1.195E-05
1863,70.0,SA,Gold,0.077177508,1.22371E-05
1973,70.0,SA,Gold,0.077177508,1.22371E-05
1876,72.4,SA,Gold,0.079824476,1.26568E-05
1981,75.0,VIC,Gold,0.082690187,1.31112E-05
1883,77.1,SA,Gold,0.085036384,1.34832E-05
1972,78.0,SA,Gold,0.085997795,1.36356E-05
1898,78.5,SA,Gold,0.086545094,1.37224E-05
1914,78.7,NT,Gold,0.086819405,1.37659E-05
1921,81.7,SA,Gold,0.090111136,1.42878E-05
1860,85.2,QLD,Gold,0.093882911,1.48859E-05
1943,85.3,WA,Iron Ore,,9.36729E-08
1931,86.5,SA,Gold,0.095391621,1.51251E-05
1875,87.7,TAS,Gold,0.096728886,1.53371E-05
1908,90.1,SA,Gold,0.099300551,1.57449E-05
1893,92.0,SA,Gold,0.101426461,1.6082E-05
1932,93.7,SA,Gold,0.103346637,1.63864E-05
1913,97.0,NT,Gold,0.106946968,1.69573E-05
1888,97.2,WA,Gold,0.107152701,1.69899E-05
1973,100.0,VIC,Gold,0.110253583,1.74816E-05
1982,100.0,VIC,Gold,0.110253583,1.74816E-05
1862,100.0,SA,Gold,0.110253583,1.74816E-05
1867,100.0,SA,Gold,0.110253583,1.74816E-05
1875,100.0,SA,Gold,0.110253583,1.74816E-05
1919,100.3,SA,Gold,0.110547299,1.75282E-05
1898,101.6,WA,Iron Ore,,1.11515E-07
1940,101.7,SA,Gold,0.112124587,1.77782E-05
1896,105.1,SA,Gold,0.115896362,1.83763E-05
1900,106.5,SA,Gold,0.117473649,1.86264E-05
1922,106.7,TAS,Gold,0.117645094,1.86536E-05
1863,108.4,QLD,Gold,0.119496692,1.89472E-05
1925,109.6,TAS,Gold,0.120833958,1.91592E-05
1938,109.7,NSW,Iron Ore,,1.20437E-07
1911,109.8,SA,Gold,0.12107398,1.91972E-05
1896,110.7,SA,Iron Ore,,1.21552E-07
1928,112.1,TAS,Gold,0.123542778,1.95887E-05
1983,113.0,VIC,Gold,0.124586549,1.97542E-05
1884,113.3,SA,Gold,0.124880044,1.98007E-05
1899,114.1,SA,Gold,0.125771555,1.99421E-05
1923,114.6,TAS,Gold,0.126320176,2.00291E-05
1860,120.0,SA,Gold,0.1323043,2.09779E-05
1861,120.0,SA,Gold,0.1323043,2.09779E-05
1873,120.0,SA,Gold,0.1323043,2.09779E-05
1901,121.6,SA,Gold,0.134103749,2.12632E-05
1943,121.7,NT,Gold,0.134138037,2.12687E-05
1971,122.0,VIC,Gold,0.134509372,2.13275E-05
1939,122.2,SA,Gold,0.134755237,2.13665E-05
1974,126.0,VIC,Gold,0.138919515,2.20268E-05
1858,130.0,SA,Gold,0.143329658,2.27261E-05
1859,130.0,SA,Gold,0.143329658,2.27261E-05
