Name,State,Latitude,Longitude,Status,Commodity Group,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Mineral Type
Mount Hope,SA,-34.1629,135.3798,Mineral deposit,High Purity Alumina,,,,,,Rare Earth Elements (REE) and Specialty Elements
Mount Hutton,SA,-30.4890,138.302,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Mount Ida,WA,-29.0940,120.461,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
Mount Isa,QLD,-20.7434,139.4783,Operating mine,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Mount Jewell,WA,-30.1804,121.456,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Mount Keith,WA,-27.2296,120.5417,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Mount Lindsay,TAS,-41.6973,145.3286,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Mount Margaret,WA,-28.3119,120.9861,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Mount Marion,WA,-31.0738,121.4611,Operating mine,"Lithium , Tantalum , Niobium",,,,,,Other
Mount Martin,WA,-31.0089,121.68,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Mount Mulcahy,WA,-27.0534,117.697,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Mount Mulgine,WA,-29.1785,116.9774,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Mount Oxide,QLD,-19.4787,139.3883,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Mount Paynter,NSW,-35.9004,147.6301,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
Mount Peak,QLD,-21.6290,133.2954,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Mount Playfair,SA,-30.3980,138.2124,Mineral deposit,Magnesium,,,,,,Base Metals and Alloys
Mount Rove,WA,-22.0418,120.7972,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Mount Sholl,WA,-20.9123,116.8921,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Mount Tabor,QLD,-25.0566,147.5774,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Mount Thirsty,WA,-32.1019,121.6478,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Mount Weld,WA,-28.8599,122.5475,Operating mine,"REE, Zirconium, Niobium, , Hafnium, Lithium, Tantalum, Gallium",,,,,,Other
Mount Windarra,WA,-28.4852,122.233,Mine - care and maintenance,"Nickel , Cobalt , PGE",,,,,,Other
Muchea,WA,-31.4946,115.8822,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Mulga Downs,WA,-22.1084,118.5722,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Mulga Rock,WA,-29.9043,123.592,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Munglinup,WA,-33.6635,120.8586,Mine - under development,Graphite,,,,,,"Silica, Graphite, and Fluorine"
Munni Munni,WA,-21.1170,116.8296,Mineral deposit,"Platinum Group Elements (PGE) , Cobalt , Nickel",,,,,,Other
Murrin Murrin,WA,-28.7668,121.893,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Mutooroo,SA,-32.2496,140.938,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Myrtle Springs,SA,-30.4169,138.2258,Operating mine,Magnesium,,,,,,Base Metals and Alloys
Nanadie Well,WA,-27.1599,118.9485,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Narraburra,NSW,-34.3162,147.5551,Mineral deposit,"REE, Zirconium, Niobium, , Hafnium, Lithium, Tantalum, Gallium",,,,,,Other
Nebo-Babel,WA,-26.0954,127.7274,Mine - under development,"Nickel , Cobalt , PGE",,,,,,Other
Nepean,WA,-31.1637,121.0857,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
New Hope,QLD,-21.7293,140.494,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Nicholas Downs,WA,-22.7739,120.8943,Mine - care and maintenance,Manganese Ore,,,,,,Base Metals and Alloys
Nico Young,NSW,-34.1725,148.0808,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Night Train,WA,-17.5804,123.1131,Mineral deposit,Titanium,,,,,,Base Metals and Alloys
Niobe,WA,-27.7076,117.2671,Mineral deposit,"Lithium , Tantalum , Niobium",,,,,,Other
NiWest,WA,-28.8633,121.793,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
NMBD,WA,-32.4504,119.6801,Mineral deposit,"Nickel , Cobalt , PGE",,,,,,Other
Nobles Nob,NT,-19.7115,134.2901,Mine - under development,"Bismuth , Cobalt , Indium",,,,,,Other
Nolans Bore,NT,-22.5821,133.2399,Mine - under development,Rare Earth Elements (REE),,,,,,Other
North Stanmore,WA,-27.3457,117.9099,Mineral deposit,Rare Earth Elements (REE),,,,,,Other
North Telfer,WA,-21.3780,122.2489,Mineral deposit,Cobalt,,,,,,Rare Earth Elements (REE) and Specialty Elements
Northcote,QLD,-17.0058,145.1571,Mine - under development,Antimony,,,,,,Rare Earth Elements (REE) and Specialty Elements
Northern Operations,WA,-31.1690,121.6514,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Nova,WA,-29.9217,115.3661,Mineral deposit,Silicon,,,,,,"Silica, Graphite, and Fluorine"
Nova-Bollinger,WA,-31.8199,123.1924,Operating mine,"Nickel , Cobalt , PGE",,,,,,Other
Nyngan,NSW,-31.6090,146.9937,Mineral deposit,"Scandium , Cobalt , PGE , Nickel",,,,,,Other
Oakover,WA,-23.3066,120.6807,Mineral deposit,Manganese Ore,,,,,,Base Metals and Alloys
Oar,SA,-33.8036,135.5132,Mineral deposit,Graphite,,,,,,"Silica, Graphite, and Fluorine"
O'Callaghans,WA,-21.7921,122.2585,Mineral deposit,Tungsten,,,,,,Base Metals and Alloys
